status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,credit_mix_score,installment_amount,age_bucket
no checking account,6,existing credits paid back duly till now,radio/television,2108,< 100 DM,4 to < 7 years,2,male : married/widowed,none,2,none,29,none,rent,1,skilled employee/ official,1,none,yes,1,0.034482757431629055,351.33327477778755,25-35
0 to < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 to < 500 DM,1 to < 4 years,4,male : single,guarantor,4,car,21,none,rent,1,skilled employee/ official,1,none,yes,0,0.04761904535147403,67.35555405876546,<25
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,3,real estate,34,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.05882352768166096,166.77775924691565,25-35
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,real estate,28,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.07142856887755111,230.33329494445084,25-35
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 to < 500 DM,< 1 year,4,female : divorced/separated/married,none,4,real estate,27,bank,rent,4,skilled employee/ official,1,none,yes,0,0.1481481426611799,79.24999339583388,25-35
0 to < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,36,bank,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027777777006172864,114.99999520833353,35-45
0 to < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,< 100 DM,>= 7 years,4,male : divorced/separated,none,3,savings agreement/life insurance,40,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.024999999375000016,238.72220895987726,35-45
no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 to < 1000 DM,>= 7 years,4,male : single,none,2,real estate,52,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03846153772189351,103.99998844444573,45-55
< 0 DM,12,existing credits paid back duly till now,car (new),1168,< 100 DM,1 to < 4 years,4,male : married/widowed,none,3,none,27,none,own,1,unskilled - resident,1,none,yes,1,0.037037035665294975,97.33332522222291,25-35
no checking account,27,delay in paying off in the past,business,5117,< 100 DM,4 to < 7 years,3,male : single,none,4,real estate,26,none,own,2,skilled employee/ official,1,none,yes,1,0.07692307396449716,189.51851149931437,25-35
< 0 DM,12,existing credits paid back duly till now,retraining,902,< 100 DM,4 to < 7 years,4,male : married/widowed,none,4,car,21,none,rent,1,skilled employee/ official,1,none,yes,0,0.04761904535147403,75.1666604027783,<25
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,< 100 DM,>= 7 years,4,male : single,none,1,none,38,none,own,2,unskilled - resident,2,none,yes,1,0.05263157756232691,124.58332295138976,35-45
< 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,38,none,for free,3,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.07894736634349037,354.099988196667,35-45
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,< 100 DM,>= 7 years,4,male : single,none,4,none,43,none,own,3,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.06976744023796651,161.24998656250114,35-45
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,< 100 DM,4 to < 7 years,4,male : single,none,3,car,26,none,own,1,skilled employee/ official,1,none,yes,1,0.03846153698224858,118.66665677777861,25-35
< 0 DM,24,existing credits paid back duly till now,business,6568,< 100 DM,1 to < 4 years,2,male : married/widowed,none,2,real estate,21,stores,own,1,unskilled - resident,1,none,yes,1,0.04761904535147403,273.66665526388937,<25
no checking account,12,existing credits paid back duly till now,car (used),1413,>= 1000 DM,4 to < 7 years,3,male : single,none,2,car,55,none,own,1,skilled employee/ official,1,none,no,1,0.018181817851239675,117.74999018750083,45-55
no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 to < 4 years,1,male : single,none,2,none,33,none,own,2,skilled employee/ official,2,none,yes,1,0.060606058769513374,341.5555176049425,25-35
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,none,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.022222221728395074,106.52777481867292,35-45
< 0 DM,27,no credits taken/ all credits paid back duly,business,5293,< 100 DM,unemployed,2,male : single,none,4,car,50,stores,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.03999999920000002,196.03702977640629,45-55
>= 200 DM,30,delay in paying off in the past,business,1908,< 100 DM,>= 7 years,4,male : single,none,4,none,66,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.015151514921946744,63.59999788000007,65+
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,>= 7 years,4,male : single,none,2,real estate,51,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.0196078427527874,92.83333075462971,45-55
0 to < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 to < 7 years,1,female : divorced/separated/married,none,3,car,39,none,own,2,unskilled - resident,1,none,yes,1,0.05128204996712693,155.33330744444876,35-45
< 0 DM,18,no credits taken/ all credits paid back duly,business,3104,< 100 DM,4 to < 7 years,3,male : single,none,1,car,31,bank,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.032258063475546335,172.44443486419806,25-35
>= 200 DM,36,existing credits paid back duly till now,radio/television,3913,< 100 DM,1 to < 4 years,2,male : single,none,2,none,23,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04347825897920613,108.69444142515441,<25
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,< 100 DM,1 to < 4 years,2,male : divorced/separated,none,2,none,24,none,rent,1,unskilled - resident,1,none,yes,1,0.041666664930555625,125.87499475520855,<25
no checking account,10,existing credits paid back duly till now,car (new),1364,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.015624999755859379,136.39998636000138,55-65
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,625,< 100 DM,< 1 year,4,male : married/widowed,guarantor,1,none,26,bank,own,1,unskilled - resident,1,none,yes,1,0.03846153698224858,52.08332899305592,25-35
< 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,4,car,23,bank,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04347825897920613,99.99999166666737,<25
no checking account,12,existing credits paid back duly till now,radio/television,707,< 100 DM,1 to < 4 years,4,male : single,none,2,none,30,bank,own,2,skilled employee/ official,1,none,yes,1,0.06666666444444451,58.916661756944855,25-35
no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 to < 4 years,4,male : single,none,4,none,32,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.06249999804687507,124.08332816319465,25-35
no checking account,15,existing credits paid back duly till now,car (used),4657,< 100 DM,1 to < 4 years,3,male : single,none,2,real estate,30,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.033333332222222255,310.4666459688903,25-35
no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee/ official,1,none,yes,1,0.07407407133058995,72.58333131712969,25-35
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,10961,>= 1000 DM,4 to < 7 years,1,male : single,co-applicant,2,savings agreement/life insurance,27,bank,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.07407407133058995,228.3541619092883,25-35
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,53,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.01886792417230332,655.4166120486157,45-55
no checking account,9,existing credits paid back duly till now,radio/television,1478,< 100 DM,4 to < 7 years,4,male : single,none,2,real estate,22,none,own,1,skilled employee/ official,1,none,yes,0,0.045454543388429844,164.2222039753107,<25
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,< 100 DM,< 1 year,4,male : single,none,1,savings agreement/life insurance,22,bank,for free,1,skilled employee/ official,1,none,yes,1,0.045454543388429844,131.20832786631968,<25
>= 200 DM,36,existing credits paid back duly till now,radio/television,4210,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee/ official,1,none,yes,0,0.03846153698224858,116.94444119598775,25-35
no checking account,9,existing credits paid back duly till now,car (new),2507,500 to < 1000 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,51,none,for free,1,unskilled - resident,1,none,yes,1,0.0196078427527874,278.55552460494175,45-55
no checking account,12,existing credits paid back duly till now,radio/television,2141,100 to < 500 DM,4 to < 7 years,3,male : single,none,1,savings agreement/life insurance,35,none,own,1,skilled employee/ official,1,none,yes,1,0.028571427755102068,178.41665179861235,25-35
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,866,< 100 DM,1 to < 4 years,4,male : married/widowed,guarantor,2,none,25,none,own,1,unskilled - resident,1,none,yes,1,0.03999999840000006,48.11110843827175,<25
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,< 100 DM,4 to < 7 years,2,male : single,none,1,none,42,none,own,3,unskilled - resident,2,none,yes,1,0.0714285697278912,385.9999035000241,35-45
< 0 DM,24,existing credits paid back duly till now,radio/television,1823,< 100 DM,unemployed,4,male : single,none,2,real estate,30,stores,own,1,management/ self-employed/highly qualified employee,2,none,yes,0,0.033333332222222255,75.95833016840291,25-35
0 to < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,male : single,none,2,car,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,0,0.04347825897920613,2425.8329290278452,<25
0 to < 200 DM,21,existing credits paid back duly till now,business,2767,100 to < 500 DM,>= 7 years,4,male : divorced/separated,none,2,real estate,61,bank,rent,2,unskilled - resident,1,none,yes,0,0.03278688470841173,131.76189848752864,55-65
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,car,35,none,own,2,skilled employee/ official,1,none,yes,1,0.057142855510204135,107.58332436805631,25-35
< 0 DM,30,existing credits paid back duly till now,radio/television,2522,< 100 DM,>= 7 years,1,male : single,guarantor,3,car,39,none,own,1,skilled employee/ official,2,none,yes,1,0.025641024983563465,84.06666386444454,35-45
< 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,2,real estate,29,bank,own,1,skilled employee/ official,1,none,yes,0,0.034482757431629055,38.1249984114584,25-35
no checking account,6,existing credits paid back duly till now,radio/television,1595,< 100 DM,4 to < 7 years,3,male : single,none,2,car,51,none,own,1,skilled employee/ official,2,none,yes,1,0.0196078427527874,265.83328902778516,45-55
< 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,24,none,for free,2,skilled employee/ official,2,none,yes,0,0.08333332986111125,95.93749800130213,<25
no checking account,12,critical account/ other credits existing (not at this bank),business,1185,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,27,none,own,2,skilled employee/ official,1,none,yes,1,0.07407407133058995,98.74999177083403,25-35
no checking account,12,all credits at this bank paid back duly,retraining,3447,500 to < 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,none,35,none,own,1,unskilled - resident,2,none,yes,1,0.028571427755102068,287.249976062502,25-35
no checking account,24,existing credits paid back duly till now,business,1258,< 100 DM,4 to < 7 years,4,male : single,none,1,none,25,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03999999840000006,52.41666448263898,<25
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,< 100 DM,>= 7 years,4,male : single,none,4,none,52,none,own,3,skilled employee/ official,1,none,yes,1,0.05769230658284026,59.74999502083375,45-55
no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 to < 500 DM,1 to < 4 years,4,male : single,none,1,savings agreement/life insurance,35,bank,rent,1,skilled employee/ official,1,none,no,1,0.028571427755102068,200.6666332222278,25-35
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,1925,< 100 DM,1 to < 4 years,2,male : single,none,2,none,26,none,own,1,skilled employee/ official,1,none,yes,1,0.03846153698224858,80.20832999131959,25-35
no checking account,18,existing credits paid back duly till now,radio/television,433,< 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,none,22,none,rent,1,skilled employee/ official,1,none,yes,0,0.045454543388429844,24.055554219135875,<25
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,>= 1000 DM,4 to < 7 years,3,female : divorced/separated/married,none,4,none,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.05128204996712693,110.99998150000309,35-45
>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,2251,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,2,real estate,46,none,own,1,unskilled - resident,1,none,yes,1,0.02173912996219283,187.5833177013902,45-55
0 to < 200 DM,30,existing credits paid back duly till now,car (new),2150,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,guarantor,2,savings agreement/life insurance,24,bank,own,1,skilled employee/ official,1,none,yes,0,0.041666664930555625,71.66666427777785,<25
no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 to < 500 DM,1 to < 4 years,2,male : single,none,3,car,35,none,own,2,skilled employee/ official,1,none,yes,1,0.057142855510204135,172.9583261267364,25-35
0 to < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4 to < 7 years,2,male : single,none,1,real estate,24,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.041666664930555625,225.55553049382996,<25
0 to < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 to < 4 years,1,male : single,none,1,none,27,none,own,1,unskilled - resident,1,none,yes,1,0.037037035665294975,123.63333127277782,25-35
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,< 100 DM,1 to < 4 years,4,male : single,none,2,none,35,none,own,2,unskilled - resident,1,none,yes,1,0.057142855510204135,111.8333286736113,25-35
< 0 DM,12,all credits at this bank paid back duly,radio/television,2149,< 100 DM,1 to < 4 years,4,male : divorced/separated,none,1,savings agreement/life insurance,29,none,for free,1,skilled employee/ official,1,none,yes,0,0.034482757431629055,179.0833184097235,25-35
no checking account,15,existing credits paid back duly till now,car (used),3812,100 to < 500 DM,< 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04347825897920613,254.13331639111226,<25
no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 to < 500 DM,unemployed,4,female : divorced/separated/married,none,4,none,57,none,own,3,unskilled - resident,1,none,yes,1,0.052631578024007405,104.9090813719017,55-65
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,< 100 DM,1 to < 4 years,2,male : single,none,2,none,27,none,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,138.08332182638986,25-35
< 0 DM,24,existing credits paid back duly till now,radio/television,1603,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,real estate,55,none,own,1,skilled employee/ official,1,none,yes,1,0.018181817851239675,66.79166388368067,45-55
< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,< 100 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,36,none,for free,3,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.08333333101851859,294.5555391913589,35-45
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,savings agreement/life insurance,57,bank,for free,3,unskilled - resident,1,none,yes,1,0.052631578024007405,228.99998091666828,55-65
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,< 100 DM,>= 7 years,3,male : single,none,4,none,32,none,own,2,unskilled - resident,2,none,no,1,0.06249999804687507,123.09998769000124,25-35
0 to < 200 DM,15,existing credits paid back duly till now,radio/television,802,< 100 DM,>= 7 years,4,male : single,none,3,real estate,37,none,own,1,skilled employee/ official,2,none,yes,0,0.027027026296566857,53.46666310222246,35-45
no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,>= 7 years,4,male : single,none,4,none,36,none,own,2,skilled employee/ official,1,none,yes,1,0.05555555401234573,175.11110624691372,35-45
no checking account,24,existing credits paid back duly till now,radio/television,1533,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,real estate,38,stores,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.026315788781163457,63.874997338541775,35-45
< 0 DM,14,existing credits paid back duly till now,car (new),8978,< 100 DM,>= 7 years,1,male : divorced/separated,none,4,car,45,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",no,0,0.022222221728395074,641.2856684795952,35-45
no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,>= 7 years,4,male : single,none,2,real estate,25,none,own,2,skilled employee/ official,1,none,yes,1,0.07999999680000013,41.624998265625074,<25
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 to < 7 years,4,male : single,none,3,car,32,none,own,1,skilled employee/ official,1,none,no,1,0.031249999023437534,147.88888067283995,25-35
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 to < 1000 DM,4 to < 7 years,3,female : divorced/separated/married,none,4,real estate,37,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027027026296566857,116.83332359722304,35-45
0 to < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male : single,co-applicant,4,savings agreement/life insurance,36,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.027777777006172864,253.52082805164943,35-45
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,3060,< 100 DM,4 to < 7 years,4,male : single,none,4,none,28,none,own,2,skilled employee/ official,1,none,yes,0,0.07142856887755111,63.74999867187503,25-35
< 0 DM,30,existing credits paid back duly till now,repairs,11998,< 100 DM,< 1 year,1,male : divorced/separated,none,1,savings agreement/life insurance,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0,0.02941176384083048,399.9333200022227,25-35
no checking account,9,existing credits paid back duly till now,radio/television,2697,< 100 DM,1 to < 4 years,1,male : single,none,2,none,32,none,own,1,skilled employee/ official,2,none,yes,1,0.031249999023437534,299.6666333703741,25-35
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,real estate,26,none,own,2,skilled employee/ official,1,none,yes,1,0.07692307396449716,133.55554813580287,25-35
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,>= 7 years,2,male : divorced/separated,none,4,car,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.020408162848813003,105.16665790277851,45-55
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,car,32,none,own,1,skilled employee/ official,1,none,yes,0,0.031249999023437534,768.499871916688,25-35
no checking account,24,existing credits paid back duly till now,radio/television,1901,100 to < 500 DM,1 to < 4 years,4,male : single,none,4,real estate,29,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.034482757431629055,79.20833003298624,25-35
no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,>= 1000 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,23,none,rent,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.08695651795841226,224.53331836444545,<25
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,< 100 DM,1 to < 4 years,4,male : single,none,2,none,50,none,own,1,skilled employee/ official,1,none,yes,1,0.01999999960000001,131.16665573611203,45-55
>= 200 DM,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4 to < 7 years,4,male : single,none,4,real estate,49,bank,own,1,unskilled - resident,1,none,yes,1,0.020408162848813003,80.27777331790148,45-55
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,63,none,own,1,skilled employee/ official,1,none,yes,1,0.015873015621063243,101.33332657777824,55-65
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 to < 500 DM,< 1 year,4,male : divorced/separated,none,2,real estate,37,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027027026296566857,161.5833266006947,35-45
< 0 DM,47,existing credits paid back duly till now,car (new),10722,< 100 DM,< 1 year,1,female : divorced/separated/married,none,1,none,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.028571427755102068,228.1276547206882,25-35
< 0 DM,48,existing credits paid back duly till now,car (used),4788,< 100 DM,4 to < 7 years,4,male : single,none,3,car,26,none,own,1,skilled employee/ official,2,none,yes,1,0.03846153698224858,99.74999792187505,25-35
0 to < 200 DM,48,delay in paying off in the past,others,7582,100 to < 500 DM,unemployed,2,male : single,none,4,savings agreement/life insurance,31,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.032258063475546335,157.9583300425348,25-35
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1092,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,guarantor,4,none,49,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.040816325697626006,90.99999241666731,45-55
< 0 DM,24,delay in paying off in the past,radio/television,1024,< 100 DM,< 1 year,4,male : married/widowed,none,4,none,48,stores,own,1,skilled employee/ official,1,none,yes,0,0.020833332899305567,42.66666488888896,45-55
no checking account,12,existing credits paid back duly till now,business,1076,< 100 DM,1 to < 4 years,2,male : married/widowed,none,2,none,26,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",no,1,0.03846153698224858,89.66665919444507,25-35
0 to < 200 DM,36,existing credits paid back duly till now,car (used),9398,< 100 DM,< 1 year,1,male : married/widowed,none,4,real estate,28,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.035714284438775556,261.0555483040126,25-35
< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,savings agreement/life insurance,44,none,for free,2,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.04545454442148763,267.4583221892366,35-45
>= 200 DM,42,critical account/ other credits existing (not at this bank),car (used),4796,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,56,none,for free,1,skilled employee/ official,1,none,yes,1,0.017857142538265314,114.1904734716554,55-65
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,>= 7 years,4,male : divorced/separated,none,2,real estate,46,bank,own,2,management/ self-employed/highly qualified employee,2,none,yes,1,0.04347825992438566,158.93749668880216,45-55
0 to < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,real estate,26,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.03846153698224858,207.49999567708343,25-35
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,< 1 year,1,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,1,0.04999999750000012,389.5833008680583,<25
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,>= 7 years,4,male : single,co-applicant,2,car,45,none,own,1,unskilled - resident,1,none,no,1,0.022222221728395074,128.6999871300013,35-45
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,< 100 DM,1 to < 4 years,3,male : single,none,4,none,43,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.023255813412655504,139.72221445987697,35-45
0 to < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,>= 1000 DM,4 to < 7 years,3,male : single,none,2,real estate,32,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.06249999804687507,130.7142794897962,25-35
no checking account,6,existing credits paid back duly till now,car (new),672,< 100 DM,unemployed,1,female : divorced/separated/married,none,4,none,54,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,0.018518518175582997,111.99998133333644,45-55
0 to < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,1,real estate,42,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.0238095232426304,105.66666373148158,35-45
>= 200 DM,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 to < 7 years,4,male : single,none,2,none,37,bank,own,2,unskilled - resident,2,none,yes,0,0.054054052593133714,55.999997666666765,35-45
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,< 100 DM,4 to < 7 years,4,male : single,co-applicant,3,car,49,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.040816325697626006,103.79998962000104,45-55
no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 to < 1000 DM,1 to < 4 years,2,male : single,none,2,savings agreement/life insurance,44,bank,for free,1,skilled employee/ official,1,none,yes,0,0.022727272210743815,210.97916227126746,35-45
no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,>= 1000 DM,1 to < 4 years,4,male : divorced/separated,none,2,none,33,none,own,1,skilled employee/ official,1,none,yes,1,0.030303029384756687,257.16662380556266,25-35
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 to < 7 years,2,female : divorced/separated/married,none,4,car,24,stores,rent,1,unskilled - resident,1,none,yes,1,0.041666664930555625,160.36666132111128,<25
< 0 DM,12,existing credits paid back duly till now,radio/television,727,100 to < 500 DM,< 1 year,4,male : married/widowed,none,3,savings agreement/life insurance,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0,0.030303029384756687,60.58332828472265,25-35
0 to < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,4,none,24,none,own,1,skilled employee/ official,1,none,yes,0,0.041666664930555625,154.62498067187744,<25
0 to < 200 DM,9,existing credits paid back duly till now,car (new),276,< 100 DM,1 to < 4 years,4,male : married/widowed,none,4,none,22,none,rent,1,unskilled - resident,1,none,yes,1,0.045454543388429844,30.66666325925964,<25
0 to < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,male : single,none,4,savings agreement/life insurance,40,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,0.024999999375000016,112.10416433116325,35-45
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 to < 500 DM,1 to < 4 years,4,male : single,none,1,real estate,25,stores,own,1,skilled employee/ official,1,none,yes,1,0.03999999840000006,229.62499043229207,<25
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,real estate,26,none,own,1,skilled employee/ official,1,none,yes,1,0.03846153698224858,156.20832682465303,25-35
